#Dirchilet BC  (from /Users/houben/PhD/transect/transect/ogs/dipped/horizontal/thickness_55/transect_55_hor_RICHARDS_FLOW_BC_ST.asc.bc file) 
#Total BC nodes  276
#Node index, name, x, y, z,   value: 
100  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.655685945957e+01 1.000000000000e+01
101  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.677830131170e+01 1.000000000000e+01
102  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.699752874307e+01 1.000000000000e+01
103  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.721456390146e+01 1.000000000000e+01
104  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.742942871004e+01 1.000000000000e+01
105  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.764214487180e+01 1.000000000000e+01
106  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.785273386982e+01 1.000000000000e+01
107  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.806121697578e+01 1.000000000000e+01
108  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.826761525399e+01 1.000000000000e+01
109  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.847194955000e+01 1.000000000000e+01
110  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.867424050154e+01 1.000000000000e+01
111  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.887450854416e+01 1.000000000000e+01
112  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.907277390645e+01 1.000000000000e+01
113  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.926905661414e+01 1.000000000000e+01
114  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.946337649433e+01 1.000000000000e+01
115  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.965575317905e+01 1.000000000000e+01
116  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.984620609817e+01 1.000000000000e+01
117  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.003475448512e+01 1.000000000000e+01
118  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.022141738721e+01 1.000000000000e+01
119  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.040621366003e+01 1.000000000000e+01
120  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.058916197154e+01 1.000000000000e+01
121  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.077028080162e+01 1.000000000000e+01
122  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.094958844186e+01 1.000000000000e+01
123  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.112710300326e+01 1.000000000000e+01
124  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.130284241994e+01 1.000000000000e+01
125  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.147682444440e+01 1.000000000000e+01
126  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.164906664717e+01 1.000000000000e+01
127  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.181958642849e+01 1.000000000000e+01
128  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.198840101358e+01 1.000000000000e+01
129  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.215552745206e+01 1.000000000000e+01
130  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.232098262548e+01 1.000000000000e+01
131  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.248478324662e+01 1.000000000000e+01
132  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.264694586287e+01 1.000000000000e+01
133  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.280748685528e+01 1.000000000000e+01
134  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.296642243838e+01 1.000000000000e+01
135  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.312376866238e+01 1.000000000000e+01
136  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.327954142159e+01 1.000000000000e+01
137  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.343375645294e+01 1.000000000000e+01
138  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.358642933514e+01 1.000000000000e+01
139  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.373757549184e+01 1.000000000000e+01
140  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.388721018651e+01 1.000000000000e+01
141  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.403534853386e+01 1.000000000000e+01
142  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.418200549861e+01 1.000000000000e+01
143  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.432719589038e+01 1.000000000000e+01
144  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.447093437909e+01 1.000000000000e+01
145  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.461323548534e+01 1.000000000000e+01
146  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.475411357948e+01 1.000000000000e+01
147  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.489358289262e+01 1.000000000000e+01
148  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.503165751129e+01 1.000000000000e+01
149  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.516835138443e+01 1.000000000000e+01
150  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.530367831790e+01 1.000000000000e+01
151  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.543765198153e+01 1.000000000000e+01
152  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.557028591168e+01 1.000000000000e+01
153  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.570159350173e+01 1.000000000000e+01
154  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.583158801313e+01 1.000000000000e+01
155  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.596028257790e+01 1.000000000000e+01
156  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.608769019726e+01 1.000000000000e+01
157  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.621382374399e+01 1.000000000000e+01
158  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.633869595776e+01 1.000000000000e+01
159  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.646231944592e+01 1.000000000000e+01
160  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.658470669613e+01 1.000000000000e+01
161  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.670587007374e+01 1.000000000000e+01
162  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.682582182039e+01 1.000000000000e+01
163  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.694457405235e+01 1.000000000000e+01
164  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.706213876301e+01 1.000000000000e+01
165  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.717852782535e+01 1.000000000000e+01
166  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.729375299423e+01 1.000000000000e+01
167  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.740782591300e+01 1.000000000000e+01
168  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.752075810333e+01 1.000000000000e+01
169  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.763256097182e+01 1.000000000000e+01
170  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.774324581220e+01 1.000000000000e+01
171  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.785282380358e+01 1.000000000000e+01
172  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.796130601263e+01 1.000000000000e+01
173  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.806870340003e+01 1.000000000000e+01
174  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.817502681425e+01 1.000000000000e+01
175  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.828028699402e+01 1.000000000000e+01
176  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.838449457434e+01 1.000000000000e+01
177  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.848766007648e+01 1.000000000000e+01
178  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.858979392242e+01 1.000000000000e+01
179  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.869090643273e+01 1.000000000000e+01
180  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.879100781637e+01 1.000000000000e+01
181  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.889010818521e+01 1.000000000000e+01
182  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.898821755173e+01 1.000000000000e+01
183  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.908534582302e+01 1.000000000000e+01
184  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.918150281090e+01 1.000000000000e+01
185  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.927669822982e+01 1.000000000000e+01
186  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.937094169467e+01 1.000000000000e+01
187  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.946424272674e+01 1.000000000000e+01
188  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.955661074807e+01 1.000000000000e+01
189  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.964805508619e+01 1.000000000000e+01
190  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.973858498134e+01 1.000000000000e+01
191  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.982820957952e+01 1.000000000000e+01
192  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.991693793441e+01 1.000000000000e+01
193  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.000477900513e+01 1.000000000000e+01
194  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.009174166220e+01 1.000000000000e+01
195  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.017783469342e+01 1.000000000000e+01
196  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.026306679729e+01 1.000000000000e+01
197  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.034744658083e+01 1.000000000000e+01
198  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.043098256532e+01 1.000000000000e+01
199  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.051368318814e+01 1.000000000000e+01
