#Dirchilet BC  (from /Users/houben/phd/python/scripts/ogs5py/setup/1015_reali_14_stor_0.01_rech_whitenoise/transect_GROUNDWATER_FLOW_BC_ST.asc.bc file) 
#Total BC nodes  31
#Node index, name, x, y, z,   value: 
30207  HEAD 1.770000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30208  HEAD 1.780000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30209  HEAD 1.790000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30210  HEAD 1.800000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30211  HEAD 1.810000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30212  HEAD 1.820000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30213  HEAD 1.830000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30214  HEAD 1.840000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30215  HEAD 1.850000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30216  HEAD 1.860000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30217  HEAD 1.870000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30218  HEAD 1.880000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30219  HEAD 1.890000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30220  HEAD 1.900000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30221  HEAD 1.910000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30222  HEAD 1.920000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30223  HEAD 1.930000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30224  HEAD 1.940000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30225  HEAD 1.950000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30226  HEAD 1.960000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30227  HEAD 1.970000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30228  HEAD 1.980000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30229  HEAD 1.990000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30230  HEAD 2.000000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30231  HEAD 2.010000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30232  HEAD 2.020000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30233  HEAD 2.030000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30234  HEAD 2.040000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30235  HEAD 2.050000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30236  HEAD 2.060000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30237  HEAD 2.070000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30238  HEAD 2.080000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30239  HEAD 2.090000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30240  HEAD 2.100000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30241  HEAD 2.110000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
